nome,participou_2014,participou_2015,participou_2016,participou_2017,participou_2018,participou_2019,participou_2020,participou_2021,participou_2022,participou_2023,participou_2024,indicada_critics,ganhou_critics
Alana Haim,False,False,False,False,False,False,False,True,False,False,False,True,False
Amy Adams,False,False,True,False,False,False,False,False,False,False,False,True,False
Andra Day,False,False,False,False,False,False,True,False,False,False,False,True,False
Angelina Jolie,False,False,False,False,False,False,False,False,False,False,True,True,False
Annette Bening,False,False,True,False,False,False,False,False,False,False,False,True,False
Awkwafina,False,False,False,False,False,True,False,False,False,False,False,True,False
Brie Larson,False,True,False,False,False,False,False,False,False,False,False,True,True
Carey Mulligan,False,False,False,False,False,False,True,False,False,True,False,True,True
Cate Blanchett,False,True,False,False,False,False,False,False,True,False,False,True,True
Charlize Theron,False,True,False,False,False,True,False,False,False,False,False,True,False
Charlotte Rampling,False,True,False,False,False,False,False,False,False,False,False,True,False
Cynthia Erivo,False,False,False,False,False,True,False,False,False,False,True,True,False
Danielle Deadwyler,False,False,False,False,False,False,False,False,True,False,False,True,False
Demi Moore,False,False,False,False,False,False,False,False,False,False,True,True,True
Emily Blunt,False,False,False,False,True,False,False,False,False,False,False,True,False
Emma Stone,False,False,True,False,False,False,False,False,False,True,False,True,True
Felicity Jones,True,False,False,False,False,False,False,False,False,False,False,True,False
Frances McDormand,False,False,False,True,False,False,True,False,False,False,False,True,True
Glenn Close,False,False,False,False,True,False,False,False,False,False,False,True,True
Greta Lee,False,False,False,False,False,False,False,False,False,True,False,True,False
Isabelle Huppert,False,False,True,False,False,False,False,False,False,False,False,True,False
Jennifer Aniston,True,False,False,False,False,False,False,False,False,False,False,True,False
Jennifer Lawrence,False,True,False,False,False,False,False,False,False,False,False,True,False
Jessica Chastain,False,False,False,True,False,False,False,True,False,False,False,True,True
Julianne Moore,True,False,False,False,False,False,False,False,False,False,False,True,True
Karla Sofía Gascón,False,False,False,False,False,False,False,False,False,False,True,True,False
Kristen Stewart,False,False,False,False,False,False,False,True,False,False,False,True,False
Lady Gaga,False,False,False,False,True,False,False,True,False,False,False,True,True
Lily Gladstone,False,False,False,False,False,False,False,False,False,True,False,True,False
Lupita Nyong'o,False,False,False,False,False,True,False,False,False,False,False,True,False
Margot Robbie,False,False,False,True,False,False,False,False,True,True,False,True,False
Marianne Jean-Baptiste,False,False,False,False,False,False,False,False,False,False,True,True,False
Marion Cotillard,True,False,False,False,False,False,False,False,False,False,False,True,False
Melissa McCarthy,False,False,False,False,True,False,False,False,False,False,False,True,False
Meryl Streep,False,False,False,True,False,False,False,False,False,False,False,True,False
Michelle Williams,False,False,False,False,False,False,False,False,True,False,False,True,False
Michelle Yeoh,False,False,False,False,False,False,False,False,True,False,False,True,False
Mikey Madison,False,False,False,False,False,False,False,False,False,False,True,True,False
Natalie Portman,False,False,True,False,False,False,False,False,False,False,False,True,True
Nicole Kidman,False,False,False,False,False,False,False,True,False,False,False,True,False
Olivia Colman,False,False,False,False,True,False,False,True,False,False,False,True,False
Reese Witherspoon,True,False,False,False,False,False,False,False,False,False,False,True,False
Renée Zellweger,False,False,False,False,False,True,False,False,False,False,False,True,True
Rosamund Pike,True,False,False,False,False,False,False,False,False,False,False,True,False
Ruth Negga,False,False,True,False,False,False,False,False,False,False,False,True,False
Sally Hawkins,False,False,False,True,False,False,False,False,False,False,False,True,False
Sandra Hüller,False,False,False,False,False,False,False,False,False,True,False,True,False
Saoirse Ronan,False,True,False,True,False,True,False,False,False,False,False,True,False
Scarlett Johansson,False,False,False,False,False,True,False,False,False,False,False,True,False
Sidney Flanigan,False,False,False,False,False,False,True,False,False,False,False,True,False
Toni Collette,False,False,False,False,True,False,False,False,False,False,False,True,False
Vanessa Kirby,False,False,False,False,False,False,True,False,False,False,False,True,False
Viola Davis,False,False,False,False,False,False,True,False,True,False,False,True,False
Yalitza Aparicio,False,False,False,False,True,False,False,False,False,False,False,True,False
Zendaya,False,False,False,False,False,False,True,False,False,False,False,True,False
