,ano,nome,indicada_gg,ganhou_gg,indicada_os,ganhou_os,indicada_sag,ganhou_sag,indicada_bafta,ganhou_bafta,indicada_critics,ganhou_critics
0,2014,Amy Adams,1,1,0,0,0,0,1,0,0,0
1,2014,Emily Blunt,1,0,0,0,0,0,0,0,0,0
2,2014,Felicity Jones,1,0,1,0,1,0,1,0,1,0
3,2014,Helen Mirren,1,0,0,0,0,0,0,0,0,0
4,2014,Jennifer Aniston,1,0,0,0,1,0,0,0,1,0
5,2014,Julianne Moore,1,1,1,1,1,1,1,1,1,1
6,2014,Julianne Moore,1,0,1,1,1,1,1,1,1,1
7,2014,Marion Cotillard,0,0,1,0,0,0,0,0,1,0
8,2014,Quvenzhané Wallis,1,0,0,0,0,0,0,0,0,0
9,2014,Reese Witherspoon,1,0,1,0,1,0,1,0,1,0
10,2014,Rosamund Pike,1,0,1,0,1,0,1,0,1,0
11,2015,Alicia Vikander,1,0,0,0,0,0,1,0,0,0
12,2015,Amy Schumer,1,0,0,0,0,0,0,0,0,0
13,2015,Brie Larson,1,1,1,1,1,1,1,1,1,1
14,2015,Cate Blanchett,1,0,1,0,1,0,1,0,1,0
15,2015,Charlize Theron,0,0,0,0,0,0,0,0,1,0
16,2015,Charlotte Rampling,0,0,1,0,0,0,0,0,1,0
17,2015,Helen Mirren,0,0,0,0,1,0,0,0,0,0
18,2015,Jennifer Lawrence,1,1,1,0,0,0,0,0,1,0
19,2015,Lily Tomlin,1,0,0,0,0,0,0,0,0,0
20,2015,Maggie Smith,1,0,0,0,0,0,1,0,0,0
21,2015,Melissa McCarthy,1,0,0,0,0,0,0,0,0,0
22,2015,Rooney Mara,1,0,0,0,0,0,0,0,0,0
23,2015,Saoirse Ronan,1,0,1,0,1,0,1,0,1,0
24,2015,Sarah Silverman,0,0,0,0,1,0,0,0,0,0
25,2016,Amy Adams,1,0,0,0,1,0,1,0,1,0
26,2016,Annette Bening,1,0,0,0,0,0,0,0,1,0
27,2016,Emily Blunt,0,0,0,0,1,0,1,0,0,0
28,2016,Emma Stone,1,1,1,1,1,1,1,1,1,0
29,2016,Hailee Steinfeld,1,0,0,0,0,0,0,0,0,0
30,2016,Isabelle Huppert,1,1,1,0,0,0,0,0,1,0
31,2016,Jessica Chastain,1,0,0,0,0,0,0,0,0,0
32,2016,Lily Collins,1,0,0,0,0,0,0,0,0,0
33,2016,Meryl Streep,1,0,1,0,1,0,1,0,0,0
34,2016,Natalie Portman,1,0,1,0,1,0,1,0,1,1
35,2016,Ruth Negga,1,0,1,0,0,0,0,0,1,0
36,2017,Annette Bening,0,0,0,0,0,0,1,0,0,0
37,2017,Emma Stone,1,0,0,0,0,0,0,0,0,0
38,2017,Frances McDormand,1,1,1,1,1,1,1,1,1,1
39,2017,Helen Mirren,1,0,0,0,0,0,0,0,0,0
40,2017,Jessica Chastain,1,0,0,0,0,0,0,0,1,0
41,2017,Judi Dench,1,0,0,0,1,0,0,0,0,0
42,2017,Margot Robbie,1,0,1,0,1,0,1,0,1,0
43,2017,Meryl Streep,1,0,1,0,0,0,0,0,1,0
44,2017,Michelle Williams,1,0,0,0,0,0,0,0,0,0
45,2017,Sally Hawkins,1,0,1,0,1,0,1,0,1,0
46,2017,Saoirse Ronan,1,1,1,0,1,0,1,0,1,0
47,2018,Charlize Theron,1,0,0,0,0,0,0,0,0,0
48,2018,Constance Wu,1,0,0,0,0,0,0,0,0,0
49,2018,Elsie Fisher,1,0,0,0,0,0,0,0,0,0
50,2018,Emily Blunt,1,0,0,0,1,0,0,0,1,0
51,2018,Glenn Close,1,1,1,0,1,1,1,0,1,1
52,2018,Lady Gaga,1,0,1,0,1,0,1,0,1,1
53,2018,Melissa McCarthy,1,0,1,0,1,0,1,0,1,0
54,2018,Nicole Kidman,1,0,0,0,0,0,0,0,0,0
55,2018,Olivia Colman,1,1,1,1,1,0,1,1,1,0
56,2018,Rosamund Pike,1,0,0,0,0,0,0,0,0,0
57,2018,Toni Collette,0,0,0,0,0,0,0,0,1,0
58,2018,Viola Davis,0,0,0,0,0,0,1,0,0,0
59,2018,Yalitza Aparicio,0,0,1,0,0,0,0,0,1,0
60,2019,Ana de Armas,1,0,0,0,0,0,0,0,0,0
61,2019,Awkwafina,1,1,0,0,0,0,0,0,1,0
62,2019,Beanie Feldstein,1,0,0,0,0,0,0,0,0,0
63,2019,Cate Blanchett,1,0,0,0,0,0,0,0,0,0
64,2019,Charlize Theron,1,0,1,0,1,0,1,0,1,0
65,2019,Cynthia Erivo,1,0,1,0,1,0,0,0,1,0
66,2019,Emma Thompson,1,0,0,0,0,0,0,0,0,0
67,2019,Jessie Buckley,0,0,0,0,0,0,1,0,0,0
68,2019,Lupita Nyong'o,0,0,0,0,1,0,0,0,1,0
69,2019,Renée Zellweger,1,1,1,1,1,1,1,1,1,1
70,2019,Saoirse Ronan,1,0,1,0,0,0,1,0,1,0
71,2019,Scarlett Johansson,1,0,1,0,1,0,1,0,1,0
72,2020,Alfre Woodard,0,0,0,0,0,0,1,0,0,0
73,2020,Amy Adams,0,0,0,0,1,0,0,0,0,0
74,2020,Andra Day,1,1,1,0,0,0,0,0,1,0
75,2020,Anya Taylor-Joy,1,0,0,0,0,0,0,0,0,0
76,2020,Bukky Bakray,0,0,0,0,0,0,1,0,0,0
77,2020,Carey Mulligan,1,0,1,0,1,0,0,0,1,1
78,2020,Frances McDormand,1,0,1,1,1,0,1,1,1,0
79,2020,Kate Hudson,1,0,0,0,0,0,0,0,0,0
80,2020,Maria Bakalova,1,0,0,0,0,0,0,0,0,0
81,2020,Michelle Pfeiffer,1,0,0,0,0,0,0,0,0,0
82,2020,Radha Blank,0,0,0,0,0,0,1,0,0,0
83,2020,Rosamund Pike,1,1,0,0,0,0,0,0,0,0
84,2020,Sidney Flanigan,0,0,0,0,0,0,0,0,1,0
85,2020,Vanessa Kirby,1,0,1,0,1,0,1,0,1,0
86,2020,Viola Davis,1,0,1,0,1,1,0,0,1,0
87,2020,Wunmi Mosaku,0,0,0,0,0,0,1,0,0,0
88,2020,Zendaya,0,0,0,0,0,0,0,0,1,0
89,2021,Alana Haim,1,0,0,0,0,0,1,0,1,0
90,2021,Emilia Jones,0,0,0,0,0,0,1,0,0,0
91,2021,Emma Stone,1,0,0,0,0,0,0,0,0,0
92,2021,Jennifer Hudson,0,0,0,0,1,0,0,0,0,0
93,2021,Jennifer Lawrence,1,0,0,0,0,0,0,0,0,0
94,2021,Jessica Chastain,1,0,1,1,1,1,0,0,1,1
95,2021,Joanna Scanlan,0,0,0,0,0,0,1,1,0,0
96,2021,Kristen Stewart,1,0,1,0,0,0,0,0,1,0
97,2021,Lady Gaga,1,0,0,0,1,0,1,0,1,0
98,2021,Marion Cotillard,1,0,0,0,0,0,0,0,0,0
99,2021,Nicole Kidman,1,1,1,0,1,0,0,0,1,0
100,2021,Olivia Colman,1,0,1,0,1,0,0,0,1,0
101,2021,Penélope Cruz,0,0,1,0,0,0,0,0,0,0
102,2021,Rachel Zegler,1,1,0,0,0,0,0,0,0,0
103,2021,Renate Reinsve,0,0,0,0,0,0,1,0,0,0
104,2021,Tessa Thompson,0,0,0,0,0,0,1,0,0,0
105,2022,Ana de Armas,1,0,1,0,1,0,1,0,0,0
106,2022,Andrea Riseborough,0,0,1,0,0,0,0,0,0,0
107,2022,Anya Taylor-Joy,1,0,0,0,0,0,0,0,0,0
108,2022,Cate Blanchett,1,1,1,0,1,0,1,1,1,1
109,2022,Danielle Deadwyler,0,0,0,0,1,0,1,0,1,0
110,2022,Emma Thompson,1,0,0,0,0,0,1,0,0,0
111,2022,Lesley Manville,1,0,0,0,0,0,0,0,0,0
112,2022,Margot Robbie,1,0,0,0,0,0,0,0,1,0
113,2022,Michelle Williams,1,0,1,0,0,0,0,0,1,0
114,2022,Michelle Yeoh,1,1,1,1,1,1,1,0,1,0
115,2022,Olivia Colman,1,0,0,0,0,0,0,0,0,0
116,2022,Viola Davis,1,0,0,0,1,0,1,0,1,0
117,2023,Alma Pöysti,1,0,0,0,0,0,0,0,0,0
118,2023,Annette Bening,1,0,1,0,1,0,0,0,0,0
119,2023,Cailee Spaeny,1,0,0,0,0,0,0,0,0,0
120,2023,Carey Mulligan,1,0,1,0,1,0,1,0,1,0
121,2023,Emma Stone,1,1,1,1,1,0,1,1,1,1
122,2023,Fantasia Barrino,1,0,0,0,0,0,1,0,0,0
123,2023,Greta Lee,1,0,0,0,0,0,0,0,1,0
124,2023,Jennifer Lawrence,1,0,0,0,0,0,0,0,0,0
125,2023,Lily Gladstone,1,1,1,0,1,1,0,0,1,0
126,2023,Margot Robbie,1,0,0,0,1,0,1,0,1,0
127,2023,Natalie Portman,1,0,0,0,0,0,0,0,0,0
128,2023,Sandra Huller,0,0,0,0,0,0,1,0,0,0
129,2023,Sandra Hüller,1,0,1,0,0,0,0,0,1,0
130,2023,Vivian Oparah,0,0,0,0,0,0,1,0,0,0
131,2024,Amy Adams,1,0,0,0,0,0,0,0,0,0
132,2024,Angelina Jolie,1,0,0,0,0,0,0,0,1,0
133,2024,Cynthia Erivo,1,0,1,0,1,0,1,0,1,0
134,2024,Demi Moore,1,1,1,0,1,1,1,0,1,1
135,2024,Fernanda Torres,1,1,1,0,0,0,0,0,0,0
136,2024,Karla Sofía Gascón,1,0,1,0,1,0,1,0,1,0
137,2024,Kate Winslet,1,0,0,0,0,0,0,0,0,0
138,2024,Marianne Jean-Baptiste,0,0,0,0,0,0,1,0,1,0
139,2024,Mikey Madison,1,0,1,0,1,0,1,1,1,0
140,2024,Nicole Kidman,1,0,0,0,0,0,0,0,0,0
141,2024,Pamela Anderson,1,0,0,0,1,0,0,0,0,0
142,2024,Saoirse Ronan,0,0,0,0,0,0,1,0,0,0
143,2024,Tilda Swinton,1,0,0,0,0,0,0,0,0,0
144,2024,Zendaya,1,0,0,0,0,0,0,0,0,0
