nome,participou_2014,participou_2015,participou_2016,participou_2017,participou_2018,participou_2019,participou_2020,participou_2021,participou_2022,participou_2023,participou_2024,indicada_sag,ganhou_sag
Amy Adams,False,False,True,False,False,False,True,False,False,False,False,True,False
Ana de Armas,False,False,False,False,False,False,False,False,True,False,False,True,False
Annette Bening,False,False,False,False,False,False,False,False,False,True,False,True,False
Brie Larson,False,True,False,False,False,False,False,False,False,False,False,True,True
Carey Mulligan,False,False,False,False,False,False,True,False,False,True,False,True,False
Cate Blanchett,False,True,False,False,False,False,False,False,True,False,False,True,False
Charlize Theron,False,False,False,False,False,True,False,False,False,False,False,True,False
Cynthia Erivo,False,False,False,False,False,True,False,False,False,False,True,True,False
Danielle Deadwyler,False,False,False,False,False,False,False,False,True,False,False,True,False
Demi Moore,False,False,False,False,False,False,False,False,False,False,True,True,True
Emily Blunt,False,False,True,False,True,False,False,False,False,False,False,True,False
Emma Stone,False,False,True,False,False,False,False,False,False,True,False,True,True
Felicity Jones,True,False,False,False,False,False,False,False,False,False,False,True,False
Frances McDormand,False,False,False,True,False,False,True,False,False,False,False,True,True
Glenn Close,False,False,False,False,True,False,False,False,False,False,False,True,True
Helen Mirren,False,True,False,False,False,False,False,False,False,False,False,True,False
Jennifer Aniston,True,False,False,False,False,False,False,False,False,False,False,True,False
Jennifer Hudson,False,False,False,False,False,False,False,True,False,False,False,True,False
Jessica Chastain,False,False,False,False,False,False,False,True,False,False,False,True,True
Judi Dench,False,False,False,True,False,False,False,False,False,False,False,True,False
Julianne Moore,True,False,False,False,False,False,False,False,False,False,False,True,True
Karla Sofía Gascón,False,False,False,False,False,False,False,False,False,False,True,True,False
Lady Gaga,False,False,False,False,True,False,False,True,False,False,False,True,False
Lily Gladstone,False,False,False,False,False,False,False,False,False,True,False,True,True
Lupita Nyong'o,False,False,False,False,False,True,False,False,False,False,False,True,False
Margot Robbie,False,False,False,True,False,False,False,False,False,True,False,True,False
Melissa McCarthy,False,False,False,False,True,False,False,False,False,False,False,True,False
Meryl Streep,False,False,True,False,False,False,False,False,False,False,False,True,False
Michelle Yeoh,False,False,False,False,False,False,False,False,True,False,False,True,True
Mikey Madison,False,False,False,False,False,False,False,False,False,False,True,True,False
Natalie Portman,False,False,True,False,False,False,False,False,False,False,False,True,False
Nicole Kidman,False,False,False,False,False,False,False,True,False,False,False,True,False
Olivia Colman,False,False,False,False,True,False,False,True,False,False,False,True,False
Pamela Anderson,False,False,False,False,False,False,False,False,False,False,True,True,False
Reese Witherspoon,True,False,False,False,False,False,False,False,False,False,False,True,False
Renée Zellweger,False,False,False,False,False,True,False,False,False,False,False,True,True
Rosamund Pike,True,False,False,False,False,False,False,False,False,False,False,True,False
Sally Hawkins,False,False,False,True,False,False,False,False,False,False,False,True,False
Saoirse Ronan,False,True,False,True,False,False,False,False,False,False,False,True,False
Sarah Silverman,False,True,False,False,False,False,False,False,False,False,False,True,False
Scarlett Johansson,False,False,False,False,False,True,False,False,False,False,False,True,False
Vanessa Kirby,False,False,False,False,False,False,True,False,False,False,False,True,False
Viola Davis,False,False,False,False,False,False,True,False,True,False,False,True,True
